Cameo video price,Price Group,Wikipedia,FF Celebrity rating,FF Main category rating,Catergory_Actors,Catergory_Artists,Catergory_Athletes,Catergory_Business People,Catergory_Chefs,Catergory_Comedians,Catergory_Models,Catergory_Musicians,Catergory_Personalities,Catergory_Public Figures,Catergory_Writers,cameo video price category
79.0,$100-499.99,2868,2426.0,1163,1,0,0,0,0,0,0,0,0,0,0,$100-499.99
90.0,$100-499.99,1195,2137.0,22,0,0,1,0,0,0,0,0,0,0,0,$100-499.99
25.0,$10.00-$24.99,631,7790.0,130,0,0,1,0,0,0,0,0,0,0,0,$10.00-$24.99
50.0,$25.00-$49.99,2714,3933.0,1761,1,0,0,0,0,0,0,0,0,0,0,$25.00-$49.99
25.0,$10.00-$24.99,1160,7922.0,3070,1,0,0,0,0,0,0,0,0,0,0,$10.00-$24.99
10.0,$5.00-$9.99,223,19948.0,275,0,0,1,0,0,0,0,0,0,0,0,$5.00-$9.99
430.0,$500 and above,6576,465.0,229,1,0,0,0,0,0,0,0,0,0,0,$500 and above
33.0,$25.00-$49.99,613,6066.0,104,0,0,0,0,0,0,0,0,1,0,0,$25.00-$49.99
25.0,$10.00-$24.99,1017,8061.0,3118,1,0,0,0,0,0,0,0,0,0,0,$10.00-$24.99
45.0,$25.00-$49.99,1879,4495.0,612,0,0,0,0,0,0,0,0,0,1,0,$25.00-$49.99
100.0,$100-499.99,6187,2026.0,993,1,0,0,0,0,0,0,0,0,0,0,$100-499.99
350.0,$500 and above,6775,581.0,296,1,0,0,0,0,0,0,0,0,0,0,$500 and above
60.0,$100-499.99,2921,3404.0,1564,1,0,0,0,0,0,0,0,0,0,0,$100-499.99
100.0,$100-499.99,2854,2059.0,1006,1,0,0,0,0,0,0,0,0,0,0,$100-499.99
49.0,$25.00-$49.99,1637,4332.0,588,0,0,0,0,0,0,0,0,0,1,0,$25.00-$49.99
100.0,$100-499.99,7068,2152.0,23,0,0,1,0,0,0,0,0,0,0,0,$100-499.99
50.0,$25.00-$49.99,2075,4330.0,62,0,0,1,0,0,0,0,0,0,0,0,$25.00-$49.99
50.0,$25.00-$49.99,869,4399.0,108,0,0,1,0,0,0,0,0,0,0,0,$25.00-$49.99
75.0,$100-499.99,1163,2984.0,1395,1,0,0,0,0,0,0,0,0,0,0,$100-499.99
350.0,$500 and above,6580,642.0,331,1,0,0,0,0,0,0,0,0,0,0,$500 and above
2500.0,,11921,90.0,2,0,0,0,0,0,0,0,0,0,1,0,
250.0,$500 and above,4545,901.0,87,0,0,0,0,0,0,0,0,0,1,0,$500 and above
500.0,$500 and above,6952,451.0,11,0,0,1,0,0,0,0,0,0,0,0,$500 and above
20.0,$10.00-$24.99,1000,11384.0,1178,0,0,0,0,0,0,0,1,0,0,0,$10.00-$24.99
50.0,$25.00-$49.99,566,4583.0,628,0,0,0,0,0,0,0,0,0,1,0,$25.00-$49.99
1.0,$0-$4.99,37,230115.0,36602,0,0,0,0,0,0,0,0,0,1,0,$0-$4.99
60.0,$100-499.99,791,3876.0,1740,1,0,0,0,0,0,0,0,0,0,0,$100-499.99
30.0,$25.00-$49.99,1106,7774.0,3031,1,0,0,0,0,0,0,0,0,0,0,$25.00-$49.99
95.0,$100-499.99,2664,2455.0,1175,1,0,0,0,0,0,0,0,0,0,0,$100-499.99
25.0,$10.00-$24.99,971,9359.0,210,0,0,0,0,0,0,0,0,1,0,0,$10.00-$24.99
200.0,$500 and above,4199,1170.0,595,1,0,0,0,0,0,0,0,0,0,0,$500 and above
60.0,$100-499.99,1534,3915.0,58,0,0,1,0,0,0,0,0,0,0,0,$100-499.99
110.0,$500 and above,1699,2138.0,29,0,0,1,0,0,0,0,0,0,0,0,$500 and above
250.0,$500 and above,9549,941.0,480,1,0,0,0,0,0,0,0,0,0,0,$500 and above
125.0,$500 and above,4114,1887.0,930,1,0,0,0,0,0,0,0,0,0,0,$500 and above
160.0,$500 and above,4076,1481.0,139,0,0,0,0,0,0,0,1,0,0,0,$500 and above
20.0,$10.00-$24.99,233,11893.0,2015,0,0,0,0,0,0,0,0,0,1,0,$10.00-$24.99
150.0,$500 and above,3288,1587.0,792,1,0,0,0,0,0,0,0,0,0,0,$500 and above
35.0,$25.00-$49.99,829,6821.0,2719,1,0,0,0,0,0,0,0,0,0,0,$25.00-$49.99
10.0,$5.00-$9.99,58,23908.0,116,0,0,1,0,0,0,0,0,0,0,0,$5.00-$9.99
50.0,$25.00-$49.99,2040,4788.0,2074,1,0,0,0,0,0,0,0,0,0,0,$25.00-$49.99
65.0,$100-499.99,2736,3717.0,1684,1,0,0,0,0,0,0,0,0,0,0,$100-499.99
95.0,$100-499.99,2909,2573.0,307,0,0,0,0,0,0,0,0,0,1,0,$100-499.99
50.0,$25.00-$49.99,861,4907.0,124,0,0,1,0,0,0,0,0,0,0,0,$25.00-$49.99
20.0,$10.00-$24.99,142,12387.0,348,0,0,1,0,0,0,0,0,0,0,0,$10.00-$24.99
85.0,$100-499.99,2470,2928.0,1375,1,0,0,0,0,0,0,0,0,0,0,$100-499.99
100.0,$100-499.99,3101,2493.0,1192,1,0,0,0,0,0,0,0,0,0,0,$100-499.99
100.0,$100-499.99,3107,2502.0,1195,1,0,0,0,0,0,0,0,0,0,0,$100-499.99
50.0,$25.00-$49.99,1559,5005.0,2152,1,0,0,0,0,0,0,0,0,0,0,$25.00-$49.99
40.0,$25.00-$49.99,1442,6319.0,2566,1,0,0,0,0,0,0,0,0,0,0,$25.00-$49.99
5.0,$0-$4.99,112,50732.0,1664,0,0,0,0,0,0,0,1,0,0,0,$0-$4.99
29.0,$25.00-$49.99,515,8801.0,147,0,0,1,0,0,0,0,0,0,0,0,$25.00-$49.99
55.0,$100-499.99,952,4645.0,2023,1,0,0,0,0,0,0,0,0,0,0,$100-499.99
40.0,$25.00-$49.99,1838,6422.0,2595,1,0,0,0,0,0,0,0,0,0,0,$25.00-$49.99
50.0,$25.00-$49.99,1304,5173.0,63,0,0,0,0,0,0,1,0,0,0,0,$25.00-$49.99
50.0,$25.00-$49.99,1328,5180.0,491,0,0,0,0,0,0,0,1,0,0,0,$25.00-$49.99
50.0,$25.00-$49.99,1728,5184.0,2210,1,0,0,0,0,0,0,0,0,0,0,$25.00-$49.99
65.0,$100-499.99,2720,3989.0,522,0,0,0,0,0,0,0,0,0,1,0,$100-499.99
100.0,$100-499.99,2386,2595.0,28,0,0,1,0,0,0,0,0,0,0,0,$100-499.99
65.0,$100-499.99,335,4002.0,31,0,0,1,0,0,0,0,0,0,0,0,$100-499.99
50.0,$25.00-$49.99,1270,5220.0,80,0,0,1,0,0,0,0,0,0,0,0,$25.00-$49.99
