Full name,Price Group,Cameo video price,Wikipedia,FF Celebrity rating,FF Main category rating,Catergory_Actors,Catergory_Artists,Catergory_Athletes,Catergory_Business People,Catergory_Chefs,Catergory_Comedians,Catergory_Models,Catergory_Musicians,Catergory_Personalities,Catergory_Public Figures,Catergory_Writers,Actuals,Predictions
Ashley Greene,$50.01-100.00,65.0,2736,3717.0,1684,1,0,0,0,0,0,0,0,0,0,0,$50.01-100.00,$50.01-100.00
Trace Cyrus,$50.01-100.00,95.0,2909,2573.0,307,0,0,0,0,0,0,0,0,0,1,0,$50.01-100.00,$50.01-100.00
Greg Oden,$25.01-50.00,50.0,861,4907.0,124,0,0,1,0,0,0,0,0,0,0,0,$25.01-50.00,$100.01-250.00
Josh Johnson,$10.01-25.00,20.0,142,12387.0,348,0,0,1,0,0,0,0,0,0,0,0,$10.01-25.00,$50.01-100.00
Alicia Witt,$50.01-100.00,85.0,2470,2928.0,1375,1,0,0,0,0,0,0,0,0,0,0,$50.01-100.00,$100.01-250.00
Malcolm Mcdowell,$50.01-100.00,100.0,3101,2493.0,1192,1,0,0,0,0,0,0,0,0,0,0,$50.01-100.00,$100.01-250.00
Dean Cain,$50.01-100.00,100.0,3107,2502.0,1195,1,0,0,0,0,0,0,0,0,0,0,$50.01-100.00,$100.01-250.00
Rae Dawn Chong,$25.01-50.00,50.0,1559,5005.0,2152,1,0,0,0,0,0,0,0,0,0,0,$25.01-50.00,$50.01-100.00
Sara Paxton,$25.01-50.00,40.0,1442,6319.0,2566,1,0,0,0,0,0,0,0,0,0,0,$25.01-50.00,$50.01-100.00
Annie Jones,$0.00-5.00,5.0,112,50732.0,1664,0,0,0,0,0,0,0,1,0,0,0,$0.00-5.00,$25.01-50.00
Aiden English,$25.01-50.00,29.0,515,8801.0,147,0,0,1,0,0,0,0,0,0,0,0,$25.01-50.00,$50.01-100.00
Frankie Shaw,$50.01-100.00,55.0,952,4645.0,2023,1,0,0,0,0,0,0,0,0,0,0,$50.01-100.00,$50.01-100.00
Mathew Knowles,$25.01-50.00,40.0,1838,6422.0,2595,1,0,0,0,0,0,0,0,0,0,0,$25.01-50.00,$100.01-250.00
Janice Dickinson,$25.01-50.00,50.0,1304,5173.0,63,0,0,0,0,0,0,1,0,0,0,0,$25.01-50.00,$50.01-100.00
Mike Love,$25.01-50.00,50.0,1328,5180.0,491,0,0,0,0,0,0,0,1,0,0,0,$25.01-50.00,$50.01-100.00
James Remar,$25.01-50.00,50.0,1728,5184.0,2210,1,0,0,0,0,0,0,0,0,0,0,$25.01-50.00,$50.01-100.00
Troy Baker,$50.01-100.00,65.0,2720,3989.0,522,0,0,0,0,0,0,0,0,0,1,0,$50.01-100.00,$50.01-100.00
Paige Vanzant,$50.01-100.00,100.0,2386,2595.0,28,0,0,1,0,0,0,0,0,0,0,0,$50.01-100.00,$50.01-100.00
Marin Cilic,$50.01-100.00,65.0,335,4002.0,31,0,0,1,0,0,0,0,0,0,0,0,$50.01-100.00,$100.01-250.00
Frank Mir,$25.01-50.00,50.0,1270,5220.0,80,0,0,1,0,0,0,0,0,0,0,0,$25.01-50.00,$50.01-100.00
Lynn Collins,$25.01-50.00,50.0,1313,5244.0,2228,1,0,0,0,0,0,0,0,0,0,0,$25.01-50.00,$50.01-100.00
Lorenzo Lamas,$25.01-50.00,50.0,1912,5262.0,2231,1,0,0,0,0,0,0,0,0,0,0,$25.01-50.00,$50.01-100.00
Jennifer Jones,$5.01-10.00,10.0,39,26515.0,3,0,0,1,0,0,0,0,0,0,0,0,$5.01-10.00,$25.01-50.00
Dean McDermott,$10.01-25.00,25.0,699,10607.0,3804,1,0,0,0,0,0,0,0,0,0,0,$10.01-25.00,$50.01-100.00
Alice Cooper,$250.01-500.00,300.0,4032,884.0,100,0,0,0,0,0,0,0,1,0,0,0,$250.01-500.00,$100.01-250.00
Tracey Gold,$10.01-25.00,25.0,871,10641.0,3814,1,0,0,0,0,0,0,0,0,0,0,$10.01-25.00,$50.01-100.00
Ian Alexander,$25.01-50.00,40.0,727,6668.0,1000,0,0,0,0,0,0,0,0,0,1,0,$25.01-50.00,$50.01-100.00
Mike Rutherford,$10.01-25.00,15.0,668,17979.0,1954,0,0,0,0,0,0,0,1,0,0,0,$10.01-25.00,$50.01-100.00
Lizzie Velasquez,$25.01-50.00,50.0,3118,5413.0,91,0,0,0,0,0,0,0,0,1,0,0,$25.01-50.00,$50.01-100.00
Jack Falahee,$50.01-100.00,65.0,1598,4169.0,554,0,0,0,0,0,0,0,0,0,1,0,$50.01-100.00,$50.01-100.00
Lauren Gottlieb,$25.01-50.00,40.0,591,6801.0,9,0,0,0,0,0,0,1,0,0,0,0,$25.01-50.00,$50.01-100.00
Jenny Ryan,$10.01-25.00,25.0,669,10968.0,1845,0,0,0,0,0,0,0,0,0,1,0,$10.01-25.00,$25.01-50.00
Joseph Parker,$50.01-100.00,80.0,880,3430.0,24,0,0,1,0,0,0,0,0,0,0,0,$50.01-100.00,$100.01-250.00
Julie Benz,$50.01-100.00,75.0,2162,3662.0,1665,1,0,0,0,0,0,0,0,0,0,0,$50.01-100.00,$100.01-250.00
Tanushree Dutta,$50.01-100.00,70.0,1650,3943.0,8,0,0,0,0,0,0,0,0,1,0,0,$50.01-100.00,$50.01-100.00
Joy Villa,$25.01-50.00,45.0,602,6176.0,906,0,0,0,0,0,0,0,0,0,1,0,$25.01-50.00,$25.01-50.00
Adrien Broner,$50.01-100.00,100.0,2267,2783.0,19,0,0,1,0,0,0,0,0,0,0,0,$50.01-100.00,$50.01-100.00
Bob Sapp,$25.01-50.00,50.0,1721,5612.0,88,0,0,1,0,0,0,0,0,0,0,0,$25.01-50.00,$100.01-250.00
Mayte Garcia,$50.01-100.00,65.0,1231,4330.0,1902,1,0,0,0,0,0,0,0,0,0,0,$50.01-100.00,$50.01-100.00
Arnel Pineda,$25.01-50.00,40.0,823,7071.0,703,0,0,0,0,0,0,0,1,0,0,0,$25.01-50.00,$50.01-100.00
Sean Astin,$250.01-500.00,295.0,4791,959.0,488,1,0,0,0,0,0,0,0,0,0,0,$250.01-500.00,$100.01-250.00
Christopher Daniels,$25.01-50.00,30.0,637,9487.0,160,0,0,1,0,0,0,0,0,0,0,0,$25.01-50.00,$100.01-250.00
Jana Kramer,$50.01-100.00,99.0,1068,2882.0,1356,1,0,0,0,0,0,0,0,0,0,0,$50.01-100.00,$50.01-100.00
Rohit Roy,$10.01-25.00,25.0,1108,11449.0,4025,1,0,0,0,0,0,0,0,0,0,0,$10.01-25.00,$50.01-100.00
Jimmer Fredette,$25.01-50.00,50.0,511,5725.0,147,0,0,1,0,0,0,0,0,0,0,0,$25.01-50.00,$50.01-100.00
Enes Kanter,$25.01-50.00,50.0,1363,5763.0,151,0,0,1,0,0,0,0,0,0,0,0,$25.01-50.00,$50.01-100.00
Billy Gilman,$25.01-50.00,40.0,239,7323.0,729,0,0,0,0,0,0,0,1,0,0,0,$25.01-50.00,$50.01-100.00
Vic Mignogna,$25.01-50.00,40.0,1442,7361.0,1121,0,0,0,0,0,0,0,0,0,1,0,$25.01-50.00,$50.01-100.00
Tyson Gay,$25.01-50.00,35.0,433,8415.0,17,0,0,1,0,0,0,0,0,0,0,0,$25.01-50.00,$100.01-250.00
Craig Bierko,$10.01-25.00,20.0,531,14975.0,4863,1,0,0,0,0,0,0,0,0,0,0,$10.01-25.00,$25.01-50.00
Alyssa Milano,$250.01-500.00,300.0,10523,1001.0,514,1,0,0,0,0,0,0,0,0,0,0,$250.01-500.00,$100.01-250.00
Adelaide Kane,$50.01-100.00,75.0,1640,4020.0,1795,1,0,0,0,0,0,0,0,0,0,0,$50.01-100.00,$50.01-100.00
LeGarrette Blount,$50.01-100.00,70.0,497,4308.0,104,0,0,1,0,0,0,0,0,0,0,0,$50.01-100.00,$100.01-250.00
Angelica Hale,$25.01-50.00,50.0,1490,6033.0,590,0,0,0,0,0,0,0,1,0,0,0,$25.01-50.00,$50.01-100.00
William Fichtner,$100.01-250.00,125.0,3186,2417.0,1158,1,0,0,0,0,0,0,0,0,0,0,$100.01-250.00,$100.01-250.00
Kira Kosarin,$25.01-50.00,30.0,889,10150.0,1677,0,0,0,0,0,0,0,0,0,1,0,$25.01-50.00,$100.01-250.00
Rick Edwards,$10.01-25.00,15.0,577,20318.0,548,1,0,0,0,0,0,0,0,0,0,0,$10.01-25.00,$50.01-100.00
Nick Young,$100.01-250.00,150.0,1134,2039.0,51,0,0,1,0,0,0,0,0,0,0,0,$100.01-250.00,$100.01-250.00
Chris Blue,$10.01-25.00,15.0,54,20504.0,2278,0,0,0,0,0,0,0,1,0,0,0,$10.01-25.00,$25.01-50.00
Amy Jo Johnson,$50.01-100.00,75.0,1215,4106.0,1823,1,0,0,0,0,0,0,0,0,0,0,$50.01-100.00,$50.01-100.00
Jake Quickenden,$10.01-25.00,17.0,206,18176.0,3302,0,0,0,0,0,0,0,0,0,1,0,$10.01-25.00,$10.01-25.00
Shelby Blackstock,$10.01-25.00,25.0,479,12413.0,2128,0,0,0,0,0,0,0,0,0,1,0,$10.01-25.00,$50.01-100.00
Iain Lee,$10.01-25.00,25.0,231,12430.0,6,0,0,0,0,0,0,0,0,1,0,0,$10.01-25.00,$25.01-50.00
Ric Flair,$250.01-500.00,500.0,4069,625.0,4,0,0,1,0,0,0,0,0,0,0,0,$250.01-500.00,$25.01-50.00
Ally Law,$5.01-10.00,10.0,110,31329.0,123,0,0,0,0,0,0,0,0,1,0,0,$5.01-10.00,$25.01-50.00
Elijah Daniel,$10.01-25.00,15.0,380,20943.0,3870,0,0,0,0,0,0,0,0,0,1,0,$10.01-25.00,$50.01-100.00
Stephen Bear,$25.01-50.00,35.0,391,8986.0,1431,0,0,0,0,0,0,0,0,0,1,0,$25.01-50.00,$100.01-250.00
Shayne Ward,$25.01-50.00,37.0,379,8561.0,866,0,0,0,0,0,0,0,1,0,0,0,$25.01-50.00,$50.01-100.00
Steele Johnson,$5.01-10.00,10.0,78,31707.0,122,0,0,1,0,0,0,0,0,0,0,0,$5.01-10.00,$25.01-50.00
Lori Petty,$50.01-100.00,100.0,2417,3174.0,1477,1,0,0,0,0,0,0,0,0,0,0,$50.01-100.00,$50.01-100.00
Courtney Stodden,$50.01-100.00,100.0,1598,3181.0,41,0,0,0,0,0,0,1,0,0,0,0,$50.01-100.00,$50.01-100.00
Shawnee Smith,$25.01-50.00,40.0,1107,8011.0,3097,1,0,0,0,0,0,0,0,0,0,0,$25.01-50.00,$50.01-100.00
Robyn Lively,$25.01-50.00,49.0,1714,6541.0,2643,1,0,0,0,0,0,0,0,0,0,0,$25.01-50.00,$50.01-100.00
Briana Evigan,$25.01-50.00,45.0,791,7134.0,2823,1,0,0,0,0,0,0,0,0,0,0,$25.01-50.00,$50.01-100.00
Mark Indelicato,$5.01-10.00,10.0,252,32152.0,6190,0,0,0,0,0,0,0,0,0,1,0,$5.01-10.00,$25.01-50.00
Cody Garbrandt,$50.01-100.00,100.0,2909,3223.0,42,0,0,1,0,0,0,0,0,0,0,0,$50.01-100.00,$100.01-250.00
Odette Annable,$50.01-100.00,75.0,1977,4323.0,1898,1,0,0,0,0,0,0,0,0,0,0,$50.01-100.00,$50.01-100.00
Chris Klein,$50.01-100.00,65.0,2264,4992.0,2144,1,0,0,0,0,0,0,0,0,0,0,$50.01-100.00,$100.01-250.00
James Cosmo,$25.01-50.00,50.0,1975,6491.0,2625,1,0,0,0,0,0,0,0,0,0,0,$25.01-50.00,$50.01-100.00
Jonathan Lipnicki,$25.01-50.00,45.0,1262,7228.0,2855,1,0,0,0,0,0,0,0,0,0,0,$25.01-50.00,$50.01-100.00
Kimiko Glenn,$25.01-50.00,45.0,1142,7244.0,1102,0,0,0,0,0,0,0,0,0,1,0,$25.01-50.00,$50.01-100.00
Marguerite Moreau,$25.01-50.00,35.0,739,9317.0,3460,1,0,0,0,0,0,0,0,0,0,0,$25.01-50.00,$50.01-100.00
Tank Abbott,$10.01-25.00,25.0,679,13075.0,176,0,0,1,0,0,0,0,0,0,0,0,$10.01-25.00,$50.01-100.00
Rey Mysterio,$100.01-250.00,250.0,6400,1309.0,17,0,0,1,0,0,0,0,0,0,0,0,$100.01-250.00,$250.01-500.00
Terrelle Pryor,$50.01-100.00,55.0,443,5974.0,147,0,0,1,0,0,0,0,0,0,0,0,$50.01-100.00,$100.01-250.00
Torrie Wilson,$50.01-100.00,65.0,917,5066.0,73,0,0,1,0,0,0,0,0,0,0,0,$50.01-100.00,$50.01-100.00
Carmen Carrera,$25.01-50.00,50.0,730,6586.0,8,0,0,0,0,0,0,1,0,0,0,0,$25.01-50.00,$50.01-100.00
Desiigner,$100.01-250.00,150.0,748,2199.0,214,0,0,0,0,0,0,0,1,0,0,0,$100.01-250.00,$50.01-100.00
Graham Elliot,$25.01-50.00,35.0,700,9487.0,21,0,0,0,0,1,0,0,0,0,0,0,$25.01-50.00,$50.01-100.00
Al Iaquinta,$25.01-50.00,50.0,816,6664.0,105,0,0,1,0,0,0,0,0,0,0,0,$25.01-50.00,$100.01-250.00
